id,seed,region,short_name,long_name,school
1,1,1,Auburn,Auburn Tigers,Auburn University
2,2,1,Mich St,Michigan State Spartans,Michigan State University
3,3,1,Iowa St,Iowa State Cyclones,Iowa State University
4,4,1,Texas A&M,Texas A&M Aggies,Texas A&M University
5,5,1,Michigan,Michigan Wolverines,University of Michigan
6,6,1,Ole Miss,Mississippi Rebels,University of Mississippi
7,7,1,Marquette,Marquette Golden Eagles,Marquette University
8,8,1,Louisville,Louisville Cardinals,University of Louisville
9,9,1,Creighton,Creighton Bluejays,Creighton University
10,10,1,New Mexico,New Mexico Lobos,University of New Mexico
11,11,1,SDSU/UNC,,
12,12,1,UCSD,UC San Diego Tritons,University of California San Diego
13,13,1,Yale,Yale Bulldogs,Yale University
14,14,1,Lipscomb,Lipscomb Bisons,Lipscomb University
15,15,1,Bryant,Bryant Bulldogs,Bryant University
16,16,1,ALST/SFU,,
17,1,2,Florida,Florida Gators,University of Florida
18,2,2,St Johns,St. Johns Red Storm,St. Johns University
19,3,2,Texas Tech,Texas Tech Raiders,Texas Tech University
20,4,2,Maryland,Maryland Terps,University of Maryland
21,5,2,Memphis,Memphis Tigers,University of Memphis
22,6,2,Missouri,Missouri Tigers,University of Missouri
23,7,2,Kansas,Kansas Jayhawks,University of Kansas
24,8,2,UConn,Connecticut Huskies,University of Connecticut
25,9,2,Oklahoma,Oklahoma Sooners,University of Oklahoma
26,10,2,Arkansas,Arkansas Razorbacks,University of Arkansas
27,11,2,Drake,Drake Bulldogs,Drake University
28,12,2,Colrado St,Colorado State Rams,Colorado State University
29,13,2,Grd Canyon,Grand Canyon Thunder,Grand Canyon University
30,14,2,UNCW,University of Wilmington Seahawks,University of North Carolina-Wilmington
31,15,2,Omaha,Omaha Mavericks,University of Nebraska-Omaha
32,16,2,Norfolk St,Norfolk State Spartans,Norfolk State University
33,1,3,Duke,Duke Blue Devils,Duke University
34,2,3,Alabama,Alabama Crimson Tide,University of Alabama
35,3,3,Wisconsin,Wisconsin Badgers,University of Wisconsin
36,4,3,Arizona,Arizona Wildcats,University of Arizona
37,5,3,Oregon,Oregon Ducks,University of Oregon
38,6,3,BYU,Brigham Young Cougars,Brigham Young University
39,7,3,St Marys,Saint Mary's Gaels,Saint Mary's College of California
40,8,3,Miss St,Mississippi State Bulldogs,Mississippi State University
41,9,3,Baylor,Baylor Bears,Baylor University
42,10,3,Vanderbilt,Vanderbilt Commodores,Vanderbilt University
43,11,3,VCU,VCU Rams,Virginia Commonwealth University
44,12,3,Liberty,Liberty Flames,Liberty University
45,13,3,Akron,Akron Zips,University of Akron
46,14,3,Montana,Montana Grizzlies,University of Montana
47,15,3,Rob Morris,Robert Morris Colonials,Robert Morris University
48,16,3,AMER/MTSM,,
49,1,4,Houston,Houston Cougars,University of Houston
50,2,4,Tennessee,Tennessee Volunteers,University of Tennessee
51,3,4,Kentucky,Kentucky Wildcats,University of Kentucky
52,4,4,Purdue,Purdue Boilermakers,Purdue University
53,5,4,Clemson,Clemson Tigers,Clemson University
54,6,4,Illinois,Illinois Fighting Illini,University of Illinois at Urbana-Champaign
55,7,4,UCLA,UCLA Bruins,University of California Los Angeles
56,8,4,Gonzaga,Gonzaga Bulldogs,Gonzaga University
57,9,4,Georgia,Georgia Bulldogs,University of Georgia
58,10,4,Utah State,Utah State Aggies,Utah State University
59,11,4,TEX/XAV,,
60,12,4,McNeese St,McNeese State Cowboys,McNeese State University
61,13,4,High Point,High Point Panthers,High Point University
62,14,4,Troy,Troy Trojans,Troy University
63,15,4,Wofford,Wofford Terriers,Wofford College
64,16,4,SIUE,SIU Edwardsville Cougars,Southern Illinois University Edwardsville
